2019-02-21,23:04:37.493635 
2019-02-21,23:04:37.497622 
2019-02-21,23:04:37.500612 
2019-02-21,23:04:37.507595 
2019-02-21,23:04:37.532527 i am the current leader. Table={}
2019-02-21,23:04:37.534522 Publisher changes. Table={}
2019-02-21,23:04:37.536517 Subscriber changes. Table={}
2019-02-21,23:04:37.537515 broker started. mode=2, port=5555, znode=/Election/Broker_0000000056
2019-02-21,23:04:56.271412 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_100'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:56.289371 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_101'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:56.309305 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_102'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:56.326260 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_103'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:56.344211 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_104'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:56.359171 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_105'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:56.373136 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_106'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:56.388095 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_107'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:56.405048 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_108'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:56.422003 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_109'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:56.438957 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_110'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:56.456912 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_111'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:56.476858 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_112'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:56.495812 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_113'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
